,word,counts
557,落地,12
558,娜塔莉,39
559,波特曼,33
560,太灵,3
561,①,10
562,前面,94
563,稍显,22
564,平凡,19
565,影院,121
566,充分利用,5
567,观赏,18
568,度,52
569,暴增,2
570,②,10
571,匹配,12
572,③,9
573,那堆,4
574,超,93
575,高难度,22
576,冒险,48
577,刺激,107
578,层出不穷,10
579,想着,11
580,法子,2
581,促动,1
582,感官,12
583,回,43
584,有种,69
585,别样,10
586,追,39
587,追赶,3
588,Leon,41
589,门,20
590,打开,26
591,一束,8
592,好象,8
593,天堂,30
594,光照,5
595,Mathilda,17
596,脸上,24
597,快乐,28
598,从不,37
599,发问,5
600,细节,245
601,大方向,4
602,出色,131
603,控制,69
604,几乎,192
605,完美,475
606,想要,81
607,过得,7
608,睡,31
609,床上,12
610,牵挂,11
611,遇见,10
612,胃,7
613,再也,40
614,不痛,6
615,说实话,36
616,趣味性,11
617,片子,825
618,总是,163
619,惊险,42
620,这货,4
621,生命,209
622,丰富,84
623,长相,18
624,讨喜,9
625,=,303
626,1703,3
627,一半,55
628,反派,156
629,Gary,12
630,Oldman,15
631,颗,8
632,御,8
633,姐心,8
634,正太,16
635,有个,37
636,大叔,162
637,残酷,89
638,温柔,50
639,loli,6
640,爱情故事,30
641,希望,151
642,说谎,5
643,内心深处,15
644,一丁点儿,5
645,最好,223
646,一点点,31
647,后悔,26
648,我爱你,27
649,神仙,7
650,电影史,32
651,复习,19
652,完补,3
653,四,27
654,十几分钟,9
655,惊喜,135
656,走路,16
657,第二个,9
658,「,241
659,自我,168
660,」,246
661,时空,24
662,穿插,29
663,躲避,7
664,追踪,8
665,逃跑,12
666,魔术,16
667,版,286
668,骑车,11
669,结尾,463
670,教会,8
671,女孩子,9
672,求婚,4
673,那句,59
674,扮演,29
675,孩子,109
676,天才儿童,4
677,山上,3
678,古堡,6
679,露天电影,4
680,黑白,79
681,Sherlock,11
682,Jr,11
683,现场,42
684,弹钢琴,3
685,跳,50
686,踢,30
687,嗒,3
688,舞为,3
689,出现,206
690,乐队,4
691,演奏,4
692,一时间,4
693,虚实,12
694,交错,21
695,中有,18
696,仿佛,76
697,多层,8
698,开怀大笑,5
699,感动,123
700,旧日,5
701,情怀,78
702,世影史,17
703,好莱坞,201
704,执导,22
705,第一部,379
706,非同一般,15
707,精彩演出,16
708,成为,266
709,九十年代,23
710,动作片,159
711,经典之作,36
712,影片,603
713,遵守,14
714,主流,27
715,商业片,112
716,制片,25
717,标准,53
718,价值尺度,6
719,富有,25
720,法国,41
721,艺术片,12
722,一面,33
723,过硬,4
724,功底,9
725,整个,229
726,观影,138
727,过程,141
728,莞尔,3
729,形容,54
730,最为,32
731,合适,26
732,迷人,53
733,小萝莉,39
734,怪,70
735,蜀黍,17
736,灿烂,5
737,时光,28
738,破次,2
739,元壁,2
740,结合,129
741,看得,76
742,目瞪口呆,15
743,厉害,160
744,料想到,2
745,只好,19
746,4K,79
747,修复,147
748,蓝光,40
749,重看,141
750,PURE,3
751,VISUAL,3
752,WONDER,3
753,常说,3
754,与萝莉,7
755,爱情,192
756,在我看来,16
757,内心,99
758,很少,46
759,接触,21
760,不要,206
761,异性,3
762,小女孩,56
763,直白,14
764,表达,128
765,慢慢,26
766,动摇,8
767,心,143
768,世界,552
769,美好,76
770,奋不顾身,1
771,纯洁,13
772,节奏,414
773,流畅,120
774,毫不,41
775,拖泥带水,18
776,L,14
777,é,18
778,on,40
779,Stansfield,3
780,几个,155
781,主要,86
782,个性,38
783,鲜明,58
784,加上,117
785,MTV,3
786,快速,26
787,切换,53
788,画面,317
789,从头到尾,47
790,紧抓,3
791,眼球,23
792,难得,76
793,此片,138
794,全世界,42
795,认识,37
796,☆,35
797,行云流水,25
798,一气呵成,43
799,表情,73
800,萌死,8
801,公认,10
802,好片,33
803,第六,5
804,遍,55
805,跟着,52
806,背,12
807,哭,184
808,好多,90
809,意想不到,12
810,桥段,172
811,巴斯德,2
812,窗子,3
813,跳出,4
814,裹,7
815,女人,186
816,衣服,37
817,假扮,6
818,离开,30
819,眼睛,65
820,瞪,5
821,妈,53
822,24,43
823,神片,18
824,拍出,98
825,技巧,57
826,无一不是,5
827,精品,11
828,好些,15
829,戏码,21
830,轨道,5
831,加水,10
832,仓,5
833,吸取,6
834,精髓,29
835,用到,10
836,可能,404
837,千部,5
838,洗礼,8
839,导致,59
840,片中,111
841,蛮多,6
842,不能,304
843,触到,5
844,笑,307
845,二人,25
846,同步,16
847,行走,14
848,穿墙,9
849,拍成,27
850,已经,407
851,魔鬼,27
852,球技,3
853,逗死,4
854,魔法,21
855,变幻,7
856,奇旅,3
857,赋以,3
858,超前,37
859,不可思议,32
860,用起,4
861,春之歌,3
862,名曲,3
863,警察,182
864,冷酷,34
865,职业,32
866,评断,3
867,冷血,22
868,捅,6
869,心疼,21
870,轻轻,10
871,抱抱,11
872,没想到,115
873,45,30
874,分钟,195
875,刚,53
876,冷,33
877,艾弗身,3
878,紧张,105
879,快,128
880,同学,42
881,哪里找,6
882,走入,17
883,坐在,58
884,手上,14
885,一路,70
886,畅行,3
887,神技,10
888,永远,270
889,碰,18
890,不到,98
891,13,45
892,名,38
893,场面,620
894,无敌,73
895,一遍,135
896,看一遍,68
897,很多很多,10
898,雷诺,20
899,产生,57
900,找到,85
901,并肩,7
902,极具,63
903,形象,137
904,独到,8
905,演绎,81
906,一场,198
907,法式,12
908,遗忘,21
909,这位,30
910,少女,23
911,散发,14
912,宛若,14
913,美玉,3
914,光芒,40
915,曼妙,6
916,父女,17
917,线,67
918,分明,24
919,洛丽塔,8
920,屋子,3
921,神经兮兮,5
922,流氓,9
923,自然,109
924,落好,3
925,长大,36
926,怀里,5
927,抱,42
928,仙人掌,3
929,刺得,3
930,乳头,3
931,酸酸的,3
932,绒毛,3
933,细刺,3
934,心芽,3
935,认认真真,1
936,看过,410
937,第一遍,15
938,高中,23
939,第二遍,20
940,大学,24
941,第二次,24
942,心境,6
943,想法,54
944,第一次,207
945,感触,8
946,人生,150
947,艰难,18
948,感受,123
949,陌生人,5
950,温暖,25
951,懂,193
952,铁血,12
953,柔情,31
954,太棒了,76
955,撸,11
956,从三楼,2
957,车,24
958,栅栏,2
959,掉下来,9
960,刚好,13
961,掉,87
962,车上,6
963,窗户,4
964,穿,81
965,看出,65
966,来到,17
967,连贯,15
968,鼻祖,22
969,每一秒,6
970,[,92
971,],90
972,找不出,3
973,词来,3
974,赞美,25
975,最贵,8
976,一批,8
977,票房,71
978,投资,18
979,一直,335
980,最近,63
981,深刻,247
982,西方,69
983,殉情,14
984,做到,120
985,每时每刻,5
986,磨损,4
987,成全,15
988,情字,5
989,牺牲,46
990,几下,6
991,重锤,4
992,日常,13
993,长久,9
994,磨砺,5
995,斑驳,4
996,方式,160
997,堪称,103
998,神奇,54
999,托梦,4
1000,梦幻,13
1001,影像,87
1002,相同,11
1003,姿势,13
1004,传递,26
1005,跑,122
1006,路,62
1007,画框,10
1008,屏幕,36
1009,推荐,72
1010,心萝莉,3
1011,极好,27
1012,一贯,57
1013,草根,7
1014,英雄救美,9
1015,危难,6
1016,之中,70
1017,喜感,36
1018,我妈,4
1019,小孩儿,3
1020,不想,79
1021,学,42
1022,进去,42
1023,8.24,2
1024,第十届,2
1025,北京,37
1026,电影节,38
1027,美嘉,7
1028,三里屯,6
1029,担得,9
1030,永,6
1031,流传,15
1032,字,83
1033,五百年,2
1034,过时,58
1035,极致,136
1036,难以置信,7
1037,无数次,15
1038,神,137
1039,永恒,35
1040,诠释,97
1041,为造,2
1042,机器,64
1043,同样,107
1044,艺术家,20
1045,调度,252
1046,能力,97
1047,太强,23
1048,无缝,23
1049,破窗,5
1050,逃脱,17
1051,最佳,181
1052,跳进,5
1053,相融,5
1054,TT,7
1055,委屈,9
1056,好好看,16
1057,几天,14
1058,刚看,19
1059,这下,3
1060,原型,32
1061,地方,211
1062,些许,13
1063,震撼,307
1064,全片,119
1065,确实,275
1066,段位,6
1067,高过,5
1068,safety,2
1069,last,6
1070,萌,38
1071,冷面,47
1072,我能,26
1073,纪念,12
1074,以后,119
1075,活成,7
1076,样子,81
1077,莫名,25
1078,一名,10
1079,未必,17
1080,事实真相,2
1081,善良,68
1082,延续,57
1083,90,64
1084,年前,88
1085,8.4,9
1086,阳光,24
1087,不知不觉,20
1088,羁绊,9
1089,http,59
1090,:,357
1091,www,38
1092,tudou,6
1093,com,64
1094,programs,6
1095,view,6
1096,ruq6YnN8N1o,4
1097,总让,9
1098,纳博科,4
1099,之前,201
1100,太过,53
1101,狭隘,12
1102,英雄,472
1103,相惜,7
1104,发生,63
1105,小姑娘,24
1106,味道,110
1107,奇绝,6
1108,相爱,29
1109,或许,126
1110,重温,129
1111,以前,116
1112,可惜,210
1113,也许,153
1114,生活,190
1115,仇恨,61
1116,想恋,2
1117,活下去,20
1118,重新,85
1119,下去,41
1120,活着,41
1121,杀死,31
1122,威胁,11
1123,死亡,79
1124,那一刻,35
1125,放心,4
1126,every,6
1127,inch,3
1128,of,109
1129,footage,3
1130,holds,3
1131,such,4
1132,laugh,4
1133,退,7
1134,一千次,3
1135,病,16
1136,治,4
1137,感人,81
1138,配萝莉,7
1139,8.0,16
1140,那双,12
1141,不冷,2
1142,人性,331
1143,触动,22
1144,回避,4
1145,奇妙,39
1146,仍能,4
1147,一扇,4
1148,纯粹,79
1149,特定,12
1150,偶然,23
1151,拼接,10
1152,奇思妙想,12
1153,危险,44
1154,组成,19
1155,肯定,78
1156,吸收,11
1157,养分,6
1158,日后,13
1159,影迷,51
1160,争相,8
1161,追捧,6
1162,实现,68
1163,幻想,66
1164,愿望,14
1165,主题曲,21
1166,He,7
1167,doesn,4
1168,t,37
1169,play,3
1170,the,186
1171,money,2
1172,he,10
1173,wins,2
1174,表象,6
1175,柔软,4
1176,最能,9
1177,打动,42
1178,人心,68
1179,片名,31
1180,翻译,58
1181,原名,4
1182,簡,3
1183,直行,3
1184,雲,8
1185,流水,14
1186,時代,16
1187,純情,3
1188,少男,3
1189,輕,4
1190,鬆,3
1191,駕,3
1192,馭,3
1193,龍,3
1194,基頓,14
1195,創造力,4
1196,人到,3
1197,自如,10
1198,化身,20
1199,侦破,9
1200,罪恶,31
1201,拯救,107
1202,美人于,3
1203,敌手,6
1204,少不了,10
1205,性质,17
1206,精巧,28
1207,机关,5
1208,戏中,8
1209,求爱,7
1210,唏嘘,22
1211,痛苦,82
1212,小时候,132
1213,每个,236
1214,一帆风顺,1
1215,总会,14
1216,坎坷,5
1217,深远,14
1218,半,154
1219,部分,188
1220,渐入佳境,19
1221,各种各样,7
